[19:08:28] [info] HAZEL: Creating Window Hazel Editor (1600, 900)
[19:08:29] [info] HAZEL: OpenGL Info:
[19:08:29] [info] HAZEL:   Vendor: NVIDIA Corporation
[19:08:29] [info] HAZEL:   Renderer: NVIDIA GeForce RTX 3060 Ti/PCIe/SSE2
[19:08:29] [info] HAZEL:   Version: 4.6.0 NVIDIA 516.40
[19:08:29] [warning] HAZEL: Pixel data = -1
[19:08:29] [warning] HAZEL: Pixel data = -1
[19:08:29] [warning] HAZEL: Pixel data = -1
[19:08:29] [warning] HAZEL: Pixel data = -1
[19:08:29] [warning] HAZEL: Pixel data = -1
[19:08:29] [warning] HAZEL: Pixel data = -1
[19:08:29] [warning] HAZEL: Pixel data = -1
[19:08:29] [warning] HAZEL: Pixel data = -1
[19:08:29] [warning] HAZEL: Pixel data = -1
[19:08:29] [warning] HAZEL: Pixel data = -1
[19:08:29] [warning] HAZEL: Pixel data = -1
[19:08:29] [warning] HAZEL: Pixel data = -1
[19:08:29] [warning] HAZEL: Pixel data = -1
[19:08:29] [warning] HAZEL: Pixel data = -1
[19:08:29] [warning] HAZEL: Pixel data = -1
[19:08:29] [warning] HAZEL: Pixel data = -1
[19:08:29] [warning] HAZEL: Pixel data = -1
[19:08:29] [warning] HAZEL: Pixel data = -1
[19:08:29] [warning] HAZEL: Pixel data = -1
[19:08:29] [warning] HAZEL: Pixel data = -1
[19:08:29] [warning] HAZEL: Pixel data = -1
[19:08:29] [warning] HAZEL: Pixel data = -1
[19:08:29] [warning] HAZEL: Pixel data = -1
[19:08:29] [warning] HAZEL: Pixel data = -1
[19:08:29] [warning] HAZEL: Pixel data = -1
[19:08:29] [warning] HAZEL: Pixel data = -1
[19:08:29] [warning] HAZEL: Pixel data = -1
[19:08:29] [warning] HAZEL: Pixel data = -1
[19:08:29] [warning] HAZEL: Pixel data = -1
[19:08:29] [warning] HAZEL: Pixel data = -1
[19:08:29] [warning] HAZEL: Pixel data = -1
[19:08:29] [warning] HAZEL: Pixel data = -1
[19:08:29] [warning] HAZEL: Pixel data = -1
[19:08:29] [warning] HAZEL: Pixel data = -1
[19:08:29] [warning] HAZEL: Pixel data = -1
[19:08:29] [warning] HAZEL: Pixel data = -1
[19:08:29] [warning] HAZEL: Pixel data = -1
[19:08:29] [warning] HAZEL: Pixel data = -1
[19:08:29] [warning] HAZEL: Pixel data = -1
[19:08:29] [warning] HAZEL: Pixel data = -1
[19:08:29] [warning] HAZEL: Pixel data = -1
[19:08:29] [warning] HAZEL: Pixel data = -1
[19:08:29] [warning] HAZEL: Pixel data = -1
[19:08:29] [warning] HAZEL: Pixel data = -1
[19:08:29] [warning] HAZEL: Pixel data = -1
[19:08:29] [warning] HAZEL: Pixel data = -1
[19:08:29] [warning] HAZEL: Pixel data = -1
[19:08:29] [warning] HAZEL: Pixel data = -1
[19:08:29] [warning] HAZEL: Pixel data = -1
[19:08:29] [warning] HAZEL: Pixel data = -1
[19:08:29] [warning] HAZEL: Pixel data = -1
[19:08:29] [warning] HAZEL: Pixel data = -1
[19:08:29] [warning] HAZEL: Pixel data = -1
[19:08:29] [warning] HAZEL: Pixel data = -1
[19:08:29] [warning] HAZEL: Pixel data = -1
[19:08:29] [warning] HAZEL: Pixel data = -1
[19:08:29] [warning] HAZEL: Pixel data = -1
[19:08:29] [warning] HAZEL: Pixel data = -1
